Album,Song,Lyrics
the milkeyed mender,2004,cassiopeia,feel the mattress tense beneath me like the muscle of nonsleepy feathers flexing will defeat me and it vexes me completely and the hexes heat covertly like a slow low flying turkey like a texan drying jerky but his meaty mitts cant hurt me with my steely will compounded in a mighty mound thats hounded by the snap your steel string sounded just before your snores unwound it and in store are dreams so daring that the night cant stop from staring and ill swim sweetly as a herring through the ether not despairing go to sleep you stunning sky gently creep cunning by a quiet hum is amplified by your thumb that you suck dry hundred raging waters snare the lonely sigh and you hold your breath and clasp at cassiopeia hundred raging waterssnare the lonely sigh and you hold your breath and clasp at cassiopeia cassiopeia cassiopeia cassiopeia
the milkeyed mender,2004,peach plum pear,we speak in the store im a sensitive bore you seem markedly more and im oozing surprise but its late in the day and youre well on your way what was golden went gray and im suddenly shy and the gathering floozies afford to be choosy and all sneezing darkly in the dimming divide and i have read the right books to interpret your looks you were knocking me down with the palm of your eye nah nah nah nah this is unlike the story it was written to be i was riding its back when it used to ride me and we were galloping manic to the mouth of the source we were swallowing panic in the face of its force and i was blue i am blue and unwell made me bolt like a horse nah nah nah nah now its done watch it go and youve changed some water running from the snow am i so dear do i run rare and youve changed some peach plum pear peach plum
the milkeyed mender,2004,swansea,if you want to come on down down with your bones so white watch while the freight trains pound into the wild wild night how i would love to gnaw to gnaw on your bones so white and watch while the freight trains paw paw at the wild wild night all these ghost towns wreathed in old loamassateague kneedeep in seafoam ho swansea buttonwillow lagunitas ho calicoand all these beastly bungalows stare distend like endless toads endlessly hop down the road borne by wind we southward blow and yonder wild and blue the wild blue yonder looms till we are wracked with rheum by roads by songs entombed and all we want to dois chew and chew and chew dear one drive on when all we want to do is chew and chew and chew and if you want to come on down down with your bones so white watch while the freight trains pound into the wild wild night how i would love to gnaw to gnaw on your bones so white and watch while the freight trains paw paw at the wild wild night paw at the wild wild night paw at the wild wild night 
the milkeyed mender,2004,three little babes,there was a knight and a lady bright and three little babes had she she sent them away to a far country to learn their grammerie they hadnt been gone but a very short time about three months and a day when the lark spread oer this whole wide world and taken those babes away it was on a cold cold christmas night when everything was still and she saw her three little babes come running come running down the hill she set them a table of bread and wine that they might drink and eat she spread them a bed of winding sheet that they might sleep so sweet take it off take it off cried the eldest one take it off take it off cried she for i shant stay here in this wicked world when theres a better one for me cold clods cold clods inside my bed cold clods down at my feet the tears my dear mother shed for me would wet my winding sheet the tears my dear mother shed for me would wet my winding sheetwould wet my winding sheet 
the milkeyed mender,2004,clam crab cockle cowrie,that means no where i come from i am cold out waiting for the day to come i chew my lips and i scratch my nose feels so good to be a rose oh dont dont you lift me up like im that shy no no no no no just give it up there are bats all dissolving in a row into the wishywashy dark that cannot let go and i cannot let go and so i thank the lord and i thank his sword tho it be mincing up the morning slightly bored o morning without warning like a hole and i watch you go there are some mornings when the sky looks like a road there are some dragons who were built to have and hold and some machines are dropped from great heights lovingly and some great bellies ache with many bumblebees and they sting so terribly i do as i please now im on my knees your skin is something that i stir into my tea and i am watching youand you are starry starry starry and im tumbling down and i check a frown thats why i love this town well just look around to see me serenaded hourly and celebrated sourly and dedicated dourly waltzing with the open sea clam crab cockle cowrie will you just look at me
sprout and the bean single,2004,sprout and the bean,i slept all day i woke with distaste and i railed and i raved that the difference between the sprout and the bean it is a golden ring it is a twisted string and you can ask the councillor and you can ask the king and theyll say the same thing and its a funny things hould we go outside should we go outside should we break some bread are yinterested and as i said i slept as though dead dreaming seamless dreams of lead when you go away i am big boned and feyin the dust of the day and in the dirt of the day and the danger danger drawing near them was a white coat and danger danger drawing near them was a broad boat and the water wate running clear beneath a white throat and the hollow chatter of the talking of the tadpoles who know thoutside should we go outside should we break some bread are yinterested
sprout and the bean single,2004,what we have known,the tadpole buoyant as basalt the seahorse horsing in assault the owlet in his greenery the narwhal in his cup of sea they all believe they all believe but collusion bleeds through back alleys from parapets that end in feet when one is weak we discretely meet we throw the bones into the street as they progress we retreat and all the books our fathers wrote are in the middle of the road little by little we implode history brittle brown and broke we cant remember what was spoke so we stare in wonder at the smoke what it begets is born alone we know not now what we have known ladies breathe deep against your whalebones when your children come back made of stone and the terror seething sees a way it is like the wheezing of the bay in miniature agonies they travel westward on the breeze and bring us all to our knees and the dappled horse the sorrel mare with eyes that do not see but stare beneath boots as black as malachite he drives the nag into the night into the night and all the baby boys weve born with eyes averted from the storm sent off to die in perfect form we know not now what we have known satellite photos and rhetoric see how the euphemisms stick and when they come back broke and burned those who return have no return ladies breathe deep against your whalebones when your children come back made of stone
ys,2006,emily,the meadowlark and the chimchooree and the sparrow set to the sky in a flying spree for the sport of the pharaoh little while later the pharisees dragged a comb through the meadow do you remember what they called up to you and me in our window there is a rusty light on the pines tonight sun pouring wine lord or marrow into the bones of the birches and the spires of the churches jutting out from the shadows the yoke and the axe and the old smoke stacks and the bale and the barrow and everything sloped like it was dragged from a rope in the mouth of the south below weve seen those mountains kneeling felten and grey we thought our very hearts would up and melt away from that snow in the night time just going and going and the stirring of wind chimes in the morning in the morning helps me find my way back in from the place where i have been and emily i saw you last night by the river i dreamed you were skipping little stones across the surface of the water frowning at the angle where they were lost and slipped under forever in a mud cloud mica spangled like the skyd been breathing on a mirror anyhow i sat by your side by the water you taught me the names of the stars overhead that i wrote down in my ledger though all i knew of the rote universe were those pleiades loosed in december i promised you id set them to verse so id always remember that the meteorite is the source of the light and the meteors just what we see and the meteoroid is a stone thats devoid of the fire that propelled it to thee and the meteorites just what causes the light and the meteors how its perceived and the meteoroids a bone thrown from the void that lies quiet in offering to thee you came and lay a cold compress upon the mess im in threw the windows wide and cried amen amen amen the whole world stopped to hear you hollering and you looked down and saw now what was happeningthe lines are fading in my kingdomthough i have never known the way to border them in so the muddy mouths of baboons and sows and the grouse and the horse and the hengrope at the gate of the looming lake that was once a tidy pen and the mail is late and the great estates are not lit from within the talk in towns becoming downright sickening in due time we will see the far buttes lit by a flare ive seen your bravery and i will follow you there and row through the nighttime so healthy gone healthy all of a sudden in search of a midwifewho can help mewho can help me help me find my way back in and there are worries where ive been and say say say in the lee of the baydont be bothered leave your troubles here where the tugboats shear the water from the waterflanked by furrows curling back like a match held up to a newspaper emily theyll follow your lead by the letter and i make this claim and im not ashamed to say i knew you better what theyve seen is just a beam of your sun that banishes winter let us go though we know its a hopeless endeavor the ties that bind they are barbed and spined and hold us close forever though there is nothing would help me come to grips witha sky that is gaping and yawning there is a song i woke with on my lips as you sailed your great ship towards the morning come on home the poppies are all grown knee deep by now blossoms all have fallen and the pollen ruins the plow peonies nod in the breeze and while they wetly bow with hydrocephalitic listlessness ants mop up their brow and everything with wings is restless aimless drunk and dour butterflies and birds collide at hot ungodly hours and my clay colored motherlessness rangily reclines come on home now all my bones are dolorous with vines pa pointed out to me for the hundredth time tonight the way the ladle leads to a dirtred bullet of light squint skyward and listen loving him we move within his borders just asterisms in the stars set order we could stand for a century staring with our heads cocked in the broad daylight at this thing joy landlocked in bodies that dont keep dumbstruck with the sweetness of being till we dont be told take this and eat this told the meteorite is the source of the light and the meteors just what we see and the meteoroid is a stone thats devoid of the fire that propelled it to thee and the meteorite is just what causes the light and the meteors how its perceived and the meteoroids a bone thrown from the void that lies quiet in offering to thee 
ys,2006,monkey and bear,down in the green hay where monkey and bear usually lay they woke from a stableboys cry he said “someone come quick the horses got loose got grasssick theyll founder fain theyll die ”what is now known by the sorrel and the roanby the chestnut and the bay and the gelding grey it is stay by the gate that you are given and remain in your place for your season and had the overfed dead but listened to the high fence horse sense wisdom did you hear that bear said monkey well get out of here fair and square they left the gate open wide so my bride here is my hand where is your pawtry and understand my plan ursala my heart is a furnace full of love thats just and earnest now you know that we must unlearn this allegiance to a life of service and no longer answer to that heartless haymonger nor be his accomplice the charlatan with artless hustling but ursala weve got to eat something and earn our keep while still within the borders of the land that man has girded all double bolted and tight fisted until we reach the open country asteeped in milk and honey will you keep your fancy clothes on for mecan you bear a little longer to wear that leash my love i swear by the air i breathe sooner or later youll bare your teeth but for now just dance darling cmon will you dance my darling darling theres a place for us can we go before i turn to dust my darling theres a place for us darling cmon will you dance my darling the hills are groaning with excess like a table ceaselessly being set my darling we will get there yet they trooped past the guards past the coops and the fields and the farmyards all night till finally the space they gained grew much farther than the stone that bear threw to mark where theyd stop for tea but walk a little faster dont look backwards your feast is to the east which lies a little past the pasture when the blackbirds hear tea whistling they rise and clap their applause caws the kettle black and we cant have none of thatmove along bear there there thats that ”though cast in plaster our ursalas heart beat fasterthan monkeys ever will but still they have got to pay the bills hadnt theythat is what the monkeyd say so with the courage of a clown or a cur or a kite jerking tight at its tether in her dunbrown gown of fur and her jerkin ofswansdown and leather bear would sway on her hind legs the organ would grind dregs of song for the pleasureof the children whod shriek throwing coins at her feet then recoiling in terror sing “dance darling cmon will you dance my darlingdarling theres a place for us can we go before i turn to dustmy darling theres a place for us “darling cmon will you dance my darlingyou keep your eyes fixed on the highest hill where youll everafter eat your fill o my darling…dear…mine…if you dance dance darling and ill love you still ”deep in the nightshone a weak and miserly light where the monkey shouldered his lamp someone had told him thebeard been wandering a fair piece awayfrom where they were camped someone had told himthe bear had been sneaking away to the seaside caverns to bathe and the thought troubled the monkey for he was afraid of spelunkingdown in those caves also afraid what thevillage people would say if they saw the bear in that state lolling and splashing obscenely well it seemed irrational really washing that face washing that matted and fle bit peltin some sea spit shine old kelp dripping with brine but monkey just laughed and he muttered when she comes back ursala will be bursting with pride till i jump up saying youve been rolling in muck saying you smell of garbage and grime but far out far out by now by now far out by now bear ploughed because she would not drown first the outside legs of the bear up and fell down in the water like knobby garters then the outside arms of the bearfell off as easy as if sloughed from boiled tomatoes lowred in a genteel curtsy bear shed the mantle of her diluvian shoulders and with a sigh she allowed the burden of belly to drop like an apronfull of boulders if you could hold up her threadbare coat to the light where its worn translucent in places youd see spots where almost every night of the year bear had been mending suspending that baseness now her coat drags through the water bagging with a lifes worth of hunger limitless minnows in the magnetic embrace balletic and glacial of bears insatiable shadow left there left there when bear left bear left there left there when bear stepped clear of bear sooner or later youll bury your teeth
ys,2006,sawdust and diamonds,from the top of the flightof the wide white stairs through the rest of my life do you wait for me there theres a bell in my ears theres the wide white roar drop a bell down the stairs hear it fall forevermore hear it fall forevermore drop a bell off of the dock blot it out in the sea drowning mute as a rock and sounding mutiny theres a light in the wings hits the system of strings from the side where they swing see the wires the wires the wires and the articulation in our elbows and knees makes us buckle and we couple in endless increaseas the audience admires and the little white dove made with love made with love made with glue and a glove and some pliers swings a low sickle arc from its perch in the dark settle down settle down my desire and the moment i slept i was swept up in a terrible tremor though no longer bereft how i shook and i couldnt remember and then the furthermost shake drove a murthering stake in and cleft me right down through my center and i shouldnt say so but i know that it was then or never push me back into a tree bind my buttons with salt fill my long ears with bees praying please please please love you ought not no you ought not and then the system of strings tugs on the tip of my wings cut from cardboard and old magazinesc makes me warble and rise like a sparrow and in the place where i stood there is a circle of wood a cord or two which you chop and you stack in your barrow it is terribly good to carry water and chop wood streaked with soot heavy booted and wild eyed as i crash through the rafters and the ropes and the pulleys trail afterand the holiest belfry burns sky high and then the slow lip of fire moves across the prairie with precision while somewhere with your pliers and glue you make your first incision and in a moment of almost unbearable vision doubled over with the hunger of lions hold me close cooed the dove who was stuffed now with sawdust and diamonds i wanted to say why the long face sparrow perch and play songs of long face burro buck and bray songs of long facesing i will swallow your sadness and eat your cold clay just to lift your long face and though it may be madness i will take to the graveyour precious longface and though our bones they may break and our souls separate —why the long faceand though our bodies recoil from the grip of the soil —why the long faceand in the trough of the waves which are pawing like dogs pitch we palefaced and grave as i write in my log then i hear a noise from the hull seven days out to sea and it is the damnable belland it tolls — well i believe that it tolls — it tolls for me and it tolls for me and though my wrists and my waist seemed so easy to break still my dear id have walked you to the edge of the water and they will recognize all the lines of your facein the face of the daughter of the daughter of my daughter and darling we will be fine but what was yours and mineappears to me a sandcastlethat the gibbering wave takes but if its all just the same then will you say my name say my name in the morning so that i know when the wave breaks i wasnt born of a whistle or milked from a thistle at twilight no i was all horns and thorns sprung out fully formed knockkneed and upright so enough of this terror we deserve to know light and grow evermore lighter and lighter you would have seen me through but i could not undo that desire o desire o desire o desire desire desire desire desire from the top of the flight of the wide white stairs through the rest of my life do you wait for me there
ys,2006,only skin,and there was a booming above you that night black airplanes flew over the sea and they were lowing and shifting like beached whales shelled snails as you strained and you squinted to seethe retreat of their hairless and blind cavalry you froze in your sand shoal prayed for your poor soul sky was a bread roll soaking in a milk bowl and when the bread broke fell in bricks of wet smoke my sleeping heart woke and my waking heart spoke then there was a silence you took to mean something run sing for alive you will evermore be and the plague of the greasy black engines askulking has gone east while youre left to explain them to me released from their hairless and blind cavalry with your hands in your pockets stubbily running to where im unfresh undressed and yawning well what is this craziness this crazy talking you caught some small death when you were sleep walking it was a dark dream darlin its over the firebreather is beneath the clover beneath his breathing there is cold clay forever a toothless hound dog choking on a feather but i took my fishing pole fearing your fever down to the swimming hole where there grows a bitter herb that blooms but one day a year by the riverside id bring it here apply it gently to the love youve lent me while the river was twisting and braiding the bait bobbed and the string sobbed as it cut through the hustling breeze and i watched how the water was kneading so neatly gone treacly nearly slowed to a stop in this heat in a frenzy coiling flush along the muscles beneath press on me we are restless things webs of seaweed are swaddling and you call upon the dusk of the musk of a squid shot full of ink until you sink into your crib rowing along among the reeds among the rushes i heard your song before my heart had time to hush it smell of a stonefruit being cut and being opened smell of a low and of a lazy cinder smoking and when the fire moves away fire moves away son why would you say i was the last onescrape your knee it is only skin makes the sound of violins and when i cut your hair and leave the birds all of the trimmings i am the happiest woman among all women and the shallow water stretches as far as i can see knee deep trudging along —the seagull weeps so long —humming a threshing song —until the night is over hold on hold on hold your horses back from the fickle dawn i have got some business out at the edge of town candy weighing both of my pockets downtill i can hardly stay afloat from the weight of themand knowing how the commonfolk condemnwhat it is i do to you to keep you warmbeing a woman being a woman but always up the mountainside youre clambering groping blindly hungry for anything picking through your pocket linings —well what is thisscrap of sassafras eh sisyphusi see the blossoms broke and wet after the rain little sister he will be back again i have washed a thousand spiders down the drain spiders ghosts hang soaked anddangling silently from all the blooming cherry trees in tiny nooses safe from everyone —nothing but a nuisance gone now dead and done —be a woman be a woman though we felt the spray of the waves we decided to stay till the tide rose too far we werent afraid cause we know what you are and you know that we know what you are awful atoll o incalculable indiscreetness and sorrow bawl bellows ibyl seacow all done up in a bow toddle and roll teethe an impalpable bit of leather while yarrow heather and hollyhock awkwardly molt along the shore are you mine my heart mine anymore stay with me for awhile thats an awfully real gun i know life will lay you down as the lightning has lately done failing this failing this follow me my sweetest friend to see what you anointed in pointing your gun there lay it down nice and slow there is nowhere to go save up up where the light undiluted is weaving in a drunk dream at the sight of my baby out backback on the patio watching the bats bring night in while elsewhere estuaries of waxwhite wend endlessly towards seashores unmapped last week our picture window produced a halfword heavy and hollow hit by a brown bird we stood and watched her gape like a rattlesnake and pant and labor over every intake i said a sort of prayer for some rare grace then thought i ought to take her to a higher place said dog nor vulture nor cat shall toy with you and though you die bird you will have a fine view then in my hot hand she slumped her sick weight we tramped through the poison oak heartbroke and inchoate the dogs were snapping and you cuffed their collars while i climbed the treehouse then how i hollered well shed lain as still as a stone in my palm for a lifetime or two then saw the treetops cocked her head and up and flew while back in the world that moves often according tothe hoarding of these clues dogs still run roughly around little tufts of finchdown and the cities we passed were a flickering wasteland but his hand in my hand made them hale and harmless while down in the lowlands the crops are all coming we have everything life is thundering blissful towards deathin a stampede of his fumbling green gentleness you stopped by i was all alive in my doorway we shucked and jived and when you wept i was gone see i got gone when i got wise but i cant with certainty say we survived then down and down and down and down and down and deeper stoke without sound the blameless flames you endless sleeper through fire below and fire above and fire within sleep through the things that couldnt have been if you hadnt have been and when the fire moves away fire moves away son and why would you say i was the last one all my bones they are gone gone gone take my bones i dont need none cold cold cupboard lord nothing to chew on suck all day on a cherry stone dig a little hole not three inches round spit your pit in a hole in the ground weep upon the spot for the starving of me till up grows a fine young cherry tree when the bough breaks whatll you make for mea little willow cabin to rest on your knee well what will i do with a trinket such as this think of your woman whos gone to the west but im starving and freezing in my measly old bed then ill crawl across the salt flats to stroke your sweet head come across the desert with no shoes on i love you truly or i love noone fire moves away fire moves away son why would you say that i was the last one last one clear the room theres a fire a fire a fire get going and im going to be right behind you and if the love of a woman or two dear could move you to such heights then all i can dois do my darling right by you 
ys,2006,cosmia,when you ate i saw your eyelashes saw them shake like wind on rushes in the cornfield when she called me moths surround me thought theyd drown me and i miss your precious heart and i miss your precious heart dried rose petals redbrown circles frame your eyes and stain your knuckles dried rose petals —redbrown circles —frame your eyes and stain your knuckles and all those lonely nights down by the river brought me bread and water water in  but though i tried so hard my little darlin i couldnt keep the night from coming in and all those lonely nights down by the river brought me bread and water by the kith and the kin now in the quiet hour when i am sleeping i cannot keep the night from coming in whyve you gone away gone away again ill sleep through the rest of my days if youve gone away again ill sleep through the rest of my days and i will sleep through the rest of my days and ill sleep through the rest of my days whyve you gone away seven suns seven suns away away away away can you hear me will you listen dont come near me dont go missing and in the lissome light of evening help me cosmia im grieving and all those lonely nights down by the river brought me bread and water water in  but though i tried so hard my little darlin i couldnt keep the night from coming in and all those lonely nights down by the river brought me bread and waterin the kith and the kin now in the quiet hour when i am sleeping i cannot keep the night from coming in beneath the porchlight weve all been circling beat our dust hearts singe our flour wings but in the corner something is happening wild cosmia what have you seen water were your limbs and the fire was your hair and then the moonlight caught your eye and you rose through the airwell if youve seen true light then this is my prayerwill you call me when you get thereand i miss your precious heart and i miss your precious heart and miss and miss and miss  miss  miss miss  miss  miss your heart but release your precious heart to its feast for precious hearts 
joanna newsom and the ys street band,2007,colleen,i tell it as i best know how and thats the way it was told to me must have once been a thief or a whore then surely was thrown overboard where they say i came their way from the deep blue sea it picked me up and tossed me round i lost my shoes and tore my gown forgot my name and drowned then woke up with the surf a pounding it seemed i had been run aground well they took me in and shod my feet and taught me prayers for chastity and said my name would be colleen and i was blessed among all women to have forgotten everything and as the weeks and months ensued i tried to make myself of use tilled and planted but could not produce not root nor leaf nor flower nor bean lord it seemed i over watered everything and i hate the sight of that empty air like stepping for a missing stair and falling forth forever blindly cannot grab hold of anything no not i most blessed among colleens i dream some nights of a funny sea as soft as a newly born baby it cries for me so pitifully and i dive for my child with a wildness in me and am so sweetly there received but last night came a different dream a gray and sloping shouldered thing said whats cinched round your waist colleen is that my very own baleen no have you forgotten everything this morning round the cape at dawn some travellers sailed into town with scraps for sale and the saddest songs and a book of pictures leather bound that showed a whale with a tusk a meter long well i asked the man who showed it me what is the name of that strange beast he said its name translated roughly to he who easily can curve himself against the sky and i am without words he said my lady looks perturbed the light is in your eyes colleen i said whatever can you mean he leaned in and said you aint forgotten everything you dare to speak a ladys name he says my lady is mistaken i would not speak your name in this place and if i were to try then the wind — i swear —would rise to tear you clean from me without atrace have you come then to rescue mehe laughed and said from what colleenyou dried and dressed most willingly you corseted and caught the dread diseaseby which one comes to know such peace well its true that i came to know such things asthe laws that govern propertyand the herbs to feed the babes that wean and the welting weight for every season but still i dont know any goddamned colleen then dive down there with the lights to leadthat seem to shine from everything —down to the bottom of the deep blue sea down where your heart beats so slow and you never in your life have felt so free will you come down there with medown where our bodies start to seem likeartifacts of some strange dream which afterwards you cant decipher and so soon have forgotten everything 
have one on me,2010,easy,easy easy my man and me we could rest and remain here easily we are tested and pained by whats beyond our bed we are blessed and sustained by what is not said noone knows what is coming orwho will harvest what we have sown or how ive been dulling and dumbing in the service of the heart alone or how i am worn to the bone by the river and in the river made of light im your little life giver i will give my life havent you seen what ive seen dont you know what you ought to doi was born to love and i intend to love you down in the valley where the fields are green watch my luck turn fro and to pluck every last daisy clean till only i may love you i am easy easy to keep honey you please meeven in your sleep but my arms want to carry my heart wants to hold tell me your worries i want to be told sit and see how the fog from the port in the bay lays like snow at the foot of the roanoke hear the frog going courting till the day he croaks saying even then how there is light in the river and theres a river made of light cmon you little lifegiver give your life who asked youvasked you if you want to be loved by me who died and made you in charge of who loves who all the live long day if i have my way i will love you but one cant carry the weight or change the fate of two ive been waiting for a break how longs it gonna take let me love you how about it how about what i have to say how about that livelong day how am i gonna stay here without you easy easy you must not fear you must meet me to see me i am barely here but like a bloody mary seen in the mirror speak my name and i appear speak my name and i appear speak and i appear 
