,Album,Song,Lyrics
10,Yarn and Glue (2003),Yarn and Glue,"Do you know what this is son? This is the panopticon And all around us blink the brash And shifty eyes of common cash So do we die or do we travel? Down the path by which one dabbles In the arts of antediluvian crafts With yarn and glue So gather twilight to your breast And couch the rabble-rouser's nest And we will take a day of rest And we will all be heaven-blessed And we will gather 'round to dine And pass the time with wicked rhymes And toast in dandelion wines To hear their mellifluous chimes We toast the fallow furrows that we sow We toast the monies that we owe, oh, oh We toast the creditors we daily face Who topple down with gruesome grace And we toast the aristocrats with blood of blue Because we know our collars are that color, too And we toast the artisans of antediluvian crafts With yarn and glue We do, we do! "
11,Yarn and Glue (2003),What We Have Known,"The tadpole buoyant as basalt The seahorse horsing in assault The owlet in his greenery The narwhal in his cup of sea They all believe They all believe But collusion bleeds through back alleys From parapets that end on feet When one is weak they discretely meet They throw the bones into the street And they progress And we retreat And all the books our fathers wrote Are in the middle of the road Little by little, we implode History brittle, brown and broke We can't remember what was spoke So we stare in wonder at the smoke What it begets is born alone We know not now what we have known Ladies, breathe deep against your whalebones For your children come home made of stone The terror seething sees a way Or like the wheezing of the bay In miniature agonies They travel westward on the breeze Bring us all to our knees The dappled horse, the sorrel mare With eyes that do not see but stare Beneath boots as black as malachite He drives the nag into the night Into the night And all the baby boys we've born With eyes averted from the storm Sent off to die in perfect form We know not now what we have known Satellite photos, rhetoric See how the euphemisms stick And when they come back broke and burned Those who return have no return"
12,Yarn and Glue (2003),Bridges and Balloons,"We sailed away on a winter's daywith fate as malleable as clay; but ships are fallible, I say, and the nautical, like all things, fades. And I can recall our caravel: a little wicker beetle shellwith four fine masts and lateen sails, its bearings on Cair Paravel. O my love, O it was a funny little thingto be the ones to've seen. The sight of bridges and balloonsmakes calm canaries irritable; and they caw and claw all afternoon: ""Catenaries and dirigiblesbrace and buoy the living-room —a loom of metals, warp-woof-wimble. ""A thimblesworth of milky mooncan touch hearts larger than a thimble. O my love, O it was a funny little thingto be the ones to've seen. O my love, O it was a funny little thing, it was a funny funny little thing. "
13,The Milk-Eyed Mender (2004),Bridges and Balloons,"We sailed away on a winter's daywith fate as malleable as clay; but ships are fallible, I say, and the nautical, like all things, fades. And I can recall our caravel: a little wicker beetle shellwith four fine masts and lateen sails, its bearings on Cair Paravel. O my love, O it was a funny little thingto be the ones to've seen. The sight of bridges and balloonsmakes calm canaries irritable; and they caw and claw all afternoon: ""Catenaries and dirigiblesbrace and buoy the living-room —a loom of metals, warp-woof-wimble. ""And a thimblesworth of milky mooncan touch hearts larger than a thimble. O my love, O it was a funny little thingto be the ones to've seen. O my love, O it was a funny little thing, it was a funny funny little thing. "
14,The Milk-Eyed Mender (2004),Sprout and the Bean,"I slept all day I woke with distasteand I railed, and I raved That the difference betweenthe sprout and the beanit is a golden ring, it is a twisted string. And you can ask the councillor; and you can ask the king; and they'll say the same thing; and it's a funny thing: Should we go outside? Should we go outside? Should we break some bread? Are y'interested? And as I said, I slept as though deaddreaming seamless dreams of lead. When you go away, I am big-boned and feyin the dust of the day, and in the dirt of the day. And the Danger! Danger! Drawing near them was a white coat, and Danger! Danger! Drawing near them was a broad boat, And the water! water! Running clear beneath a white throat, and the hollow chatterof the talking of the tadpoles, who know th'outside! Should we go outside? Should we break some bread? Are y'interested? "
15,The Milk-Eyed Mender (2004),The Book of Right-On,"We should shine a light on, a light on. And the book of right-on's right on, it was right on. We should shine a light on, a light on. And the book of right-on's right on, it was right on. I killed my dinner with karate —kick 'em in the face, taste the body; shallow work is the work that I do. Do you want to sit at my table? My fighting fame is fabledand fortune finds me fit and able. And you do say that you do pray, and you say that you're okay. And do you want to run with my pack? Do you want to ride on my back? Pray that what you lack does not distract. And even when you run through my mindsomething else is in front; you're behind. And I don't have to remind youto stick with your kind. And you do say that you do pray, and you say that you're okay. And even when you touch my faceyou know your place. And even when you touch my faceyou know your place. We should shine a light on, a light on. And the book of right-on's right on, it was right on. "
16,The Milk-Eyed Mender (2004),Sadie,"Sadie, white coat, you carry me home. And bury this bone, and take this pine-cone. Bury this bone to gnaw on it later; gnawing on the telephone, and'Till then, we pray & suspendthe notion that these lives do never end. And all day long we talk about mercy: lead me to water lord, I sure am thirsty Down in the ditch where I nearly served youup in the clouds where he almost heard you And all that we builtand all that we breathed, and all that we spilt, or pulled up like weedsis piled up in back; and it burns irrevocably. (and we spoke up in turns, 'till the silence crept over me)And bless you and I deeply dono longer resolute, and I call to you But the water got so cold, and you do losewhat you don't hold. This is an old song, these are old blues. This is not my tune, but it's mine to use. And the seabirds where the fear once grewwill flock with a fury, and they will bury what'd come for you. And down where I darn with the milk-eyed menderyou and I, and a love so tender, stretched-on a hoop where I stitch-this adage: ""Bless our house and its heart so savage. ""And all that I want, and all that I need, and all that I got is scattered like seed. And all that I knew is moving away from me. (and all that I know is blowinglike tumbleweed)And the mealy wormsin the brine will burnin the salty pyre, among the fauns and ferns. And the love we hold, and the love we spurn, will never grow coldonly taciturn. And I'll tell you tomorrow. Sadie, go on home now. And bless those who sicken below; and bless us who have chosen so. And all that I gotand all that I need I tie in a knotand I lay at your feet. And I have not forgot, but a silence crept over me. (So dig up your bone, exhume your pine-cone, my Sadie)"
17,The Milk-Eyed Mender (2004),Inflammatory Writ,"Oh, where is your inflammatory writ? Your text that would incite a light, ""Be lit""? Our music deserving devotion unswerving —Cry ""Do I deserve her? "" with unflagging fervor. (Well, no we do not, if we cannot get over it)But what's it meanwhen suddenly we're spent? Tell me true! Ambition came and reared its head, and wentfar from you! Even mollusks have weddings, though solemn and leadenbut you dirge for the dead, and take no jam on your bread —just a supper of salt and a waltzthrough your empty bed. And all at once it came to me, and I wrote him hunched 'till four-thirty But that vestal light, it burns out with the nightin spite of all the time that we spend on it: on one bedraggled ghost of a sonnet! While outside, the wild boars rootwithout bending a bough underfoot —O it breaks my heart; I don't know how they do't. So don't ask me! And as for my inflammatory writ? Well, I wrote it and I was not inflamed one bit. Advice from the master derailed that disaster; He said ""Hand that pen over to me, poetaster! ""While across the great plains, keening lovely & awful, ululate the lost Great American Novels —An unlawful lot, left to stutter and freeze, floodlit. (But at least they didn't run, to their undying credit. )"
18,The Milk-Eyed Mender (2004),This Side of the Blue,"Svetlana sucks lemons across from me, and I am progressing abominably. And I do not know my own way to the seabut the saltiest sea knows its own way to me. And the city that turns, turns protracted and slowand I find myself toeing th'Embarcaderoand I find myself knowingthe things that I knewwhich is all that you can knowon this side of the blue. And Jaime has eyesblack and shiny as bootsand they march at you two-by-two(re-loo re-loo); when she looks at you, you know she's nowhere near through: it's the kindest heart beatingthis side of the blue. And the signifieds butt headswith the signifiers, and we all fall down slack-jawedto marvel at words! When across the sky sheet theimpossible birds, in a steady, illiterate movement homewards. And Gabriel stands beneath forest and moon. See them rattle & boo, see them shake, and see them loom. See him fashion a cap from a page of Camus; and see him navigate deftly this side of the blue. And the rest of our liveswill the moments accruewhen the shape of their gonenesswill flare up anew. Then we do what we have to do(re-loo re-loo), which is all that you can doon this side of the blue. It's all that you can doon this side of the blue. "
19,The Milk-Eyed Mender (2004),"""En Gallop""","This place is damp and ghostly I am already gone. And the halls were linedwith the disembodied and the dustly wings, which fell from flesh gasplessly. And I go where the trees go, and I walk from a higher education(for now, and for hire). It beats me, but I do not know. And it beats me, but I do not know. It beats me, but I do not know. I do not know. Palaces and stormcloudsand the rough, straggly sage, and the smokeand the way it will all come together(in quietness, and in time). And you laws of propertyyou free economyand you unending afterthoughts, you could've told me before —Never get so attached to a poemyou forget truth that lacks lyricism; and never draw so close to the heatthat you forget that you must eat. "
20,The Milk-Eyed Mender (2004),Cassiopeia,"Feel the mattress tense beneath melike the muscle of non-sleepy; feathers flexing will defeat me, and it vexes me completely. And the hexes heat covertlylike a slow low-flying turkey, like a Texan drying jerkybut his meaty mitts can't hurt me. With my steely will compoundedin a mighty mound that's houndedby the snap your steel string soundedjust before your snores unwound it And in store are dreams so daringthat the night can't stop from staring. And I'll swim sweetly as a herringthrough the ether, not despairing. Go to sleep, you stunning sky; gently creep cunning by. A quiet hum is amplifiedby your thumb, that you suck dry. Hundred raging waterssnare the lonely sigh. And you hold your breathand clasp at Cassiopeia. Hundred raging waterssnare the lonely sigh. And you hold your breathand clasp at Cassiopeia. Cassiopeia, Cassiopeia, Cassiopeia"
21,The Milk-Eyed Mender (2004),"Peach, Plum, Pear","We speak in the store I'm a sensitive boreyou seem markedly moreand I'm oozing surprise. But it's late in the dayand you're well on your waywhat was golden went grayand I'm suddenly shy. And the gathering flooziesafford to be choosyand all sneezing darklyin the dimming divide. And I have read the right booksto interpret your looksyou were knocking me downwith the palm of your eye. Nah nah nah nah. . . This is unlike the storyit was written to be I was riding its backwhen it used to ride me. And we were galloping manicto the mouth of the sourcewe were swallowing panicin the face of its force. And I was blue. I am blue and unwell, made me bolt like a horse Nah nah nah nah. . . Now it's done. Watch it go. And you've changed some. Water running from the snow. Am I so dear? Do I run rare? And you've changed some: peach, plum, pear. Peach plum! "
22,The Milk-Eyed Mender (2004),Swansea,"If you want to come on down, down with your bones so white, watch while the freight trains poundinto the wild, wild night How I would love to gnaw, to gnaw on your bones so white, and watch while the freight trains paw, paw at the wild, wild night. All these ghost towns, wreathed in old loam(Assateague knee-deep in seafoam) —Ho Swansea! Buttonwillow! Lagunitas! Ho Calico! And all these beastly bungalowsstare, distend, like endless toads —endlessly hop down the road. Borne by wind, we southward blow. And yonder, wild and blue, the wild blue yonder looms. 'Till we are wracked with rheum, by roads, by songs entombed. And all we want to dois chew, and chew, and chew! Dear one, drive on, when all we want to dois chew, and chew, and chew. And if you want to come on downdown with your bones so white. Watch while the freight trains poundinto the wild, wild night. How I would love to gnaw, to gnaw on your bones so white, and watch while the freight trains paw, paw at the wild, wild night, paw at the wild, wild night, paw at the wild, wild night. "
23,The Milk-Eyed Mender (2004),Three Little Babes,"There was a knight, and a lady brightand three little babes had she. She sent them away, to a far country, to learn their grammerie. They hadn't been gone but a very short time, about three months and a day, when the lark spread o'er this whole wide worldand taken those babes away. It was on a cold, cold Christmas night, when everything was still, and she saw her three little babes come runningcome running down the hill. She set them a table of bread and wine, that they might drink and eat; she spread them a bed of winding sheet, that they might sleep so sweet. ""Take it off, take it off, "" cried the eldest one; ""Take it off, take it off, "" cried she, ""For I shan't stay here, in this wicked world, when there's a better one for me. """"Cold clods, cold clods, inside my bed, cold clods, down at my feet —The tears my dear mother shed for mewould wet my winding sheet. """"The tears my dear mother shed for mewould wet my winding sheetwould wet my winding sheet. """
24,The Milk-Eyed Mender (2004),"Clam, Crab, Cockle, Cowrie","That means no where I come from. I am cold, out waiting for the day to come. I chew my lips, and I scratch my nose: feels so good to be a rose. Oh don't, don't you lift me uplike I'm that shy, no no no no no, just give it up —There are bats all dissolving in a rowinto the wishy-washy dark that cannot let go. And I cannot let go, and so I thank the lord, and I thank his sword! 'tho it be mincing up the morning, slightly bored O, morning without warning like a hole, And I watch you go. There are some morningswhen the sky looks like a road. There are some dragonswho were built to have and hold. And some machinesare dropped from great heights lovingly. And some great bellies ache with many bumblebees(and they sting so terribly). I do as I please. Now I'm on my knees. Your skin is something that I stir into my tea. And I am watching youand you are starry, starry, starryand I'm tumbling down, and I check a frown. That's why I love this town. Well, just look aroundto see me serenaded hourly! and celebrated sourly! and dedicated dourly; waltzing with the open sea —clam, crab, cockle, cowrie: will you just look at me? "
25,Sprout and the Bean [single] (2004),Sprout and the Bean,"I slept all day I woke with distasteand I railed, and I raved That the difference betweenthe sprout and the beanit is a golden ring, it is a twisted string. And you can ask the councillor; and you can ask the king; and they'll say the same thing; and it's a funny thing: Should we go outside? Should we go outside? Should we break some bread? Are y'interested? And as I said, I slept as though deaddreaming seamless dreams of lead. When you go away, I am big-boned and feyin the dust of the day, and in the dirt of the day. And the Danger! Danger! Drawing near them was a white coat, and Danger! Danger! Drawing near them was a broad boat, And the water! water! Running clear beneath a white throat, and the hollow chatterof the talking of the tadpoles, who know th'outside! Should we go outside? Should we break some bread? Are y'interested? "
26,Sprout and the Bean [single] (2004),What We Have Known,"The tadpole buoyant as basalt The seahorse horsing in assault The owlet in his greenery The narwhal in his cup of sea They all believe They all believe But collusion bleeds through back alleys From parapets that end in feet When one is weak we discretely meet We throw the bones into the street As they progress We retreat And all the books our fathers wrote Are in the middle of the road Little by little, we implode History brittle, brown and broke We can't remember what was spoke So we stare in wonder at the smoke What it begets is born alone We know not now what we have known Ladies, breathe deep against your whalebones When your children come back made of stone And the terror seething sees a way It is like the wheezing of the bay In miniature agonies They travel westward on the breeze And bring us all to our knees And the dappled horse, the sorrel mare With eyes that do not see but stare Beneath boots as black as malachite He drives the nag into the night Into the night And all the baby boys we've born With eyes averted from the storm Sent off to die in perfect form We know not now what we have known Satellite photos and rhetoric See how the euphemisms stick And when they come back broke and burned Those who return have no return Ladies, breathe deep against your whalebones When your children come back made of stone"
27,Ys (2006),Emily,"The meadowlark and the chim-choo-ree and the sparrowset to the sky in a flying spree, for the sport of the pharaoh. Little while later, the Pharisees dragged a comb through the meadow. Do you remember what they called up to you and me, in our window? There is a rusty light on the pines tonight; sun pouring wine, lord, or marrow, into thebones of the birches, and the spires of the churches, jutting out from the shadows; the yoke, and the axe, and the old smokestacks, and the bale, and the barrow —and everything sloped, like it was dragged from a rope, in the mouth of the south below. We’ve seen those mountains kneeling, felten and grey. We thought our very hearts would up and melt away, from that snow in the nighttime, just going and goingand the stirring of wind chimesin the morningin the morning Helps me find my way back infrom the place where I have been —And, Emily, I saw you last night by the river. I dreamed you were skipping little stones across the surface of the water —frowning at the angle where they were lost, and slipped under forever, in a mud-cloud, mica-spangled, like the sky’d been breathing on a mirror. Anyhow, I sat by your side, by the water. You taught me the names of the stars overhead, that I wrote down in my ledger —though all I knew of the rote universe were those Pleiades, loosed in December, I promised you I’d set them to verse, so I’d always remember That the meteorite is the source of the light, And the meteor’s just what we see; And the meteoroid is a stone that’s devoid of the fire that propelled it to thee. And the meteorite’s just what causes the light, And the meteor’s how it’s perceived; And the meteoroid’s a bone thrown from the void, that lies quiet in offering to thee. *You came and lay a cold compress upon the mess I’m in; threw the windows wide, and cried amen amen amen. The whole world stopped to hear you hollering. And you looked down, and saw, now, what was happening: The lines are fading in my kingdom(though I have never known the way to border them in); so the muddy mouths of baboons and sows, and the grouse, and the horse, and the hengrope at the gate of the looming lake that was once a tidy pen. And the mail is late, and the great estates are not lit from within. The talk in town’s becoming downright sickening. In due time we will see the far buttes lit by a flare. I’ve seen your bravery, and I will follow you there And row through the nighttime, so healthy, gone healthy all of a sudden, In search of a midwifewho can help mewho can help me, help me find my way back in. And there are worries where I’ve been. And say, say, say, in the lee of the baydon’t be bothered. Leave your troubles here, where the tugboats shear the water from the water(flanked by furrows, curling back, like a match held up to a newspaper). Emily, they’ll follow your lead by the letter. And I make this claim, and I’m not ashamed to say I knew you better. What they’ve seen is just a beam of your sun that banishes winter. Let us go! Though we know it’s a hopeless endeavor. The ties that bind, they are barbed and spined, and hold us close forever. Though there is nothing would help me come to grips witha sky that is gaping and yawning, there is a song I woke with on my lips, as you sailed your great ship towards the morning. *Come on home. The poppies are all grown knee-deep by now. Blossoms all have fallen, and the pollen ruins the plow. Peonies nod in the breeze, and while they wetly bowwith hydrocephalitic listlessness, ants mop up their brow. And everything with wings is restless, aimless, drunk and dour; butterflies and birds collide at hot, ungodly hours. And my clay-colored motherlessness rangily reclines —Come on home, now! All my bones are dolorous with vines. Pa pointed out to me, for the hundredth time tonight, the way the ladle leads to a dirt-red bullet of light. Squint skyward and listen —loving him, we move within his borders: just asterisms in the stars’ set order. We could stand for a century, staring, with our heads cocked, in the broad daylight, at this thing: Joy, landlocked in bodies that don’t keep —dumbstruck with the sweetness of being, till we don’t be. Told: take this. And eat this. Told: the meteorite is the source of the light, And the meteor’s just what we see; And the meteoroid is a stone that’s devoid of the fire that propelled it to thee. And the meteorite is just what causes the light, And the meteor’s how it’s perceived; And the meteoroid’s a bone thrown from the void that lies quiet in offering to thee. "
28,Ys (2006),Monkey & Bear,"Down in the green hay, where monkey and bear usually lay, they woke from a stable-boy’s cry. He said: “someone come quick —the horses got loose, got grass-sick —they’ll founder! Fain, they’ll die. ”What is now known by the sorrel and the roan? By the chestnut, and the bay, and the gelding grey? It is: stay by the gate that you are given. And remain in your place, for your season. And had the overfed dead but listenedto the high-fence, horse-sense, wisdom…“Did you hear that, bear? ” saidmonkey, “we’ll get out of here, fair and squarethey left the gate open wide! “So, my bride. “Here is my hand. Where is your paw? Try and understand my plan, Ursala. My heart is a furnacefull of love that's just, and earnest. Now. You know that we must unlearn thisallegiance to a life of service, and no longer answer to that heartlesshay-monger, nor be his accomplice —(the charlatan, with artless hustling! )But Ursala, we’ve got to eat something, and earn our keep, while still withinthe borders of the land that man has girded, (all double-bolted and tightfisted! ), until we reach the open country, a-steeped in milk and honey. Will you keep your fancy clothes on, for me? Can you bear a little longer to wear that leash? “My love, I swear by the air I breathe: Sooner or later, you’ll bare your teeth. “But for now, just dance, darling. C’mon, will you dance, my darling? Darling, there’s a place for us; can we go, before I turn to dust? My darling there’s a place for us. “Darling. C’mon will you dance, My darling? The hills are groaning with excess, like a table ceaselessly being set. My darling we will get there yet. ”They trooped past the guards, past the coops, and the fields, and thefarmyards, all night, till finally, the space they gainedgrew much farther thanthe stone that bear threw, to mark where they’d stop for tea. But, “Walk a little faster, don’t look backwards —“your feast is to the East, which lies a little past the pasture. “When the blackbirds hear tea whistling they rise and clap. Their applause caws the kettle black. And we can’t have none of that! Move along, Bear; there, there; that’s that. ”(Though cast in plaster, our Ursala’s heart beat fasterthan monkey’s ever will. )But still, they have got to pay the bills. Hadn’t they? That is what the monkey'd say. So, with the courage of a clown, or a cur, or a kite, jerking tight at its tether, in her dun-brown gown of fur, and her jerkin ofswansdown and leather, Bear would sway on her hind legs; the organ would grind dregs of song, for the pleasureof the children who’d shriek, throwing coins at her feet, then recoiling in terror. Sing, “dance, darling. C’mon, will you dance, my darling? Darling, there’s a place for us; can we go, before I turn to dust? My darling there’s a place for us. “Darling. C’mon, will you dance, my darling? You keep your eyes fixed on the highest hill, where you’ll ever-after eat your fill. O my darling…dear…mine…if you dance, dance darling and I'll love you still. ”*Deep in the nightshone a weak and miserly light, where the monkey shouldered his lamp. Someone had told him thebear’d been wandering a fair piece awayfrom where they were camped. Someone had told himthe bear had been sneaking away, to the seaside caverns, to bathe; and the thought troubled the monkey, for he was afraid of spelunkingdown in those caves. Also afraid what thevillage people would say, if they saw the bear in that state —lolling and splashing obscenelywell, it seemed irrational, really, washing that face; washing that matted and flea-bit peltin some sea-spit-shine —old kelp dripping with brine. But monkey just laughed, and he muttered, “When she comes back, Ursala will be bursting with pride —till I jump up! Saying, ‘You’ve been rolling in muck! Saying, ‘You smell of garbage and grime! ’”But far out, far out, by now, by now —far out, by now, Bear ploughed, Because she would Not drown: First the outside-legs of the bearup and fell down, in the water, like knobby garters, Then the outside-arms of the bearfell off, as easy as if sloughedfrom boiled tomatoes. Low’red in a genteel curtsy, bear shed the mantle of herdiluvian shoulders; and, with a sigh, she allowed the burden of belly to drop, like an apronfull of boulders. If you could hold up herthreadbare coat to the light, where it’s worn translucent in places, you’d see spots where, almost every night of the year, Bear had been mending, suspending that baseness. Now her coat drags through the water, bagging, with a life’s-worth of hunger, limitless minnows; in the magnetic embrace, balletic and glacial, of bear’s insatiable shadow —Left there! Left there! When bear Left bear; Left there, Left there, When bearstepped clear of bear. (Sooner or later you'll bury your teeth)"
